created_at,tweet_id,text_clean,favorite_count,retweet_count,hashtags,url
2020-05-29 15:02:13+00:00,1266384356324659200,"You had us at ""Pineapple Jalapeño Mezcalita."" 🍹 https://t.co/EkuyMBb1K7",8,1,,"[{'url': 'https://t.co/EkuyMBb1K7', 'expanded_url': 'http://ow.ly/fQHh30qJJQG', 'display_url': 'ow.ly/fQHh30qJJQG', 'indices': [48, 71]}]"
2020-05-29 14:02:25+00:00,1266369308323540993,"While the world is opening up in many areas, the existing home-schooling and child-care woes are leaving parents in… https://t.co/6gxoBfV3fe",8,4,,"[{'url': 'https://t.co/6gxoBfV3fe', 'expanded_url': 'https://twitter.com/i/web/status/1266369308323540993', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-05-29 13:02:11+00:00,1266354150209617920,We're going (coco)nuts for this nutrient-dense baking flour. 🥥 https://t.co/tU3yLcviAn,8,5,,"[{'url': 'https://t.co/tU3yLcviAn', 'expanded_url': 'http://ow.ly/XWId30qJIiA', 'display_url': 'ow.ly/XWId30qJIiA', 'indices': [63, 86]}]"
2020-05-29 11:57:52+00:00,1266337961337065472,"On this #mbgPodcast, Harvard Medical Director + author @jeffrey_rediger joins mbg co-CEO, @JasonWachob, to discuss… https://t.co/8PJpkxuAUY",4,2,mbgPodcast,"[{'url': 'https://t.co/8PJpkxuAUY', 'expanded_url': 'https://twitter.com/i/web/status/1266337961337065472', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2020-05-29 11:01:16+00:00,1266323720706064384,Combine the flavors of the grill with this minty-fresh herb sauce. 😋 https://t.co/FWn3DKLWWn,5,2,,"[{'url': 'https://t.co/FWn3DKLWWn', 'expanded_url': 'http://ow.ly/ruAF30qJHWi', 'display_url': 'ow.ly/ruAF30qJHWi', 'indices': [69, 92]}]"
2020-05-29 09:00:56+00:00,1266293434668597248,"Though often overlooked by well-known superstars like aloe or hyaluronic acid, we're diving into the science behind… https://t.co/6QmvfcnMOq",9,3,,"[{'url': 'https://t.co/6QmvfcnMOq', 'expanded_url': 'https://twitter.com/i/web/status/1266293434668597248', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-05-29 07:00:48+00:00,1266263205577285633,Propanediol is one of those dubious ingredients found in countless personal products. 🧴 But is it actually any bett… https://t.co/03Lio9FsSj,2,0,,"[{'url': 'https://t.co/03Lio9FsSj', 'expanded_url': 'https://twitter.com/i/web/status/1266263205577285633', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-05-29 05:00:16+00:00,1266232870097444866,We dug into this mysterious spiritual phenomena to learn more about what its believers have to say + if they could… https://t.co/A3vHiAdRHJ,4,1,,"[{'url': 'https://t.co/A3vHiAdRHJ', 'expanded_url': 'https://twitter.com/i/web/status/1266232870097444866', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2020-05-29 03:00:11+00:00,1266202650548350977,"Here's what to say when smudging whether you're moving into a new home, selling a home, wanting to remove negativit… https://t.co/hGrximj9Wh",54,13,,"[{'url': 'https://t.co/hGrximj9Wh', 'expanded_url': 'https://twitter.com/i/web/status/1266202650548350977', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-05-29 01:00:32+00:00,1266172540537405441,"""My older patients actually want to have a more simplified regimen,"" says board-certified dermatologist Zenovia Gab… https://t.co/UVPQEq4pLV",8,0,,"[{'url': 'https://t.co/UVPQEq4pLV', 'expanded_url': 'https://twitter.com/i/web/status/1266172540537405441', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
